"GEOID","NAME","census_survey","survey_type","year","category","label","variable","estimate","moe","stat_type","denominator","denom_value","est_percent"
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Total Population","B01003_001",5834,NA,"number",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Total Pop (Denom)","B01003_001",5834,NA,"denom",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Median Age","B01002_001",46.9,0.9,"number",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","White Alone","B02001_002",5606,104,"count","B01003_001",5834,96.09
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Black Alone","B02001_003",3,5,"count","B01003_001",5834,0.05
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Native American Alone","B02001_004",72,62,"count","B01003_001",5834,1.23
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Asian Alone","B02001_005",0,14,"count","B01003_001",5834,0
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pacific Islander Alone","B02001_006",0,14,"count","B01003_001",5834,0
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Some Other Race Alone","B02001_007",19,23,"count","B01003_001",5834,0.33
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Two or More Races (Total)","B02001_008",134,92,"count","B01003_001",5834,2.3
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Two+ Races (Incl. Other)","B02001_009",21,32,"count","B01003_001",5834,0.36
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Two+ Races (Excl. Other)","B02001_010",113,89,"count","B01003_001",5834,1.94
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Hispanic (Any Race)","B03003_003",161,NA,"count","B01003_001",5834,2.76
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop Under 5 Years","S0101_C01_002",261,14,"count","S0101_C01_001",5834,4.47
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 5 to 9 Years","S0101_C01_003",254,77,"count","S0101_C01_001",5834,4.35
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 10 to 14 Years","S0101_C01_004",393,75,"count","S0101_C01_001",5834,6.74
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 15 to 19 Years","S0101_C01_005",382,78,"count","S0101_C01_001",5834,6.55
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 20 to 24 Years","S0101_C01_006",266,93,"count","S0101_C01_001",5834,4.56
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 25 to 29 Years","S0101_C01_007",231,50,"count","S0101_C01_001",5834,3.96
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 30 to 34 Years","S0101_C01_008",280,17,"count","S0101_C01_001",5834,4.8
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 35 to 39 Years","S0101_C01_009",349,71,"count","S0101_C01_001",5834,5.98
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 40 to 44 Years","S0101_C01_010",259,71,"count","S0101_C01_001",5834,4.44
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 45 to 49 Years","S0101_C01_011",397,32,"count","S0101_C01_001",5834,6.8
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 50 to 54 Years","S0101_C01_012",440,13,"count","S0101_C01_001",5834,7.54
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 55 to 59 Years","S0101_C01_013",428,132,"count","S0101_C01_001",5834,7.34
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 60 to 64 Years","S0101_C01_014",547,135,"count","S0101_C01_001",5834,9.38
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 65 to 69 Years","S0101_C01_015",430,87,"count","S0101_C01_001",5834,7.37
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 70 to 74 Years","S0101_C01_016",394,87,"count","S0101_C01_001",5834,6.75
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 75 to 79 Years","S0101_C01_017",302,63,"count","S0101_C01_001",5834,5.18
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 80 to 84 Years","S0101_C01_018",122,55,"count","S0101_C01_001",5834,2.09
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 85 Years and Over","S0101_C01_019",99,53,"count","S0101_C01_001",5834,1.7
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop Under 18 Years","S0101_C01_022",1148,21,"count","S0101_C01_001",5834,19.68
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Pop 65 Years and Over","S0101_C01_030",1347,38,"count","S0101_C01_001",5834,23.09
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Age dependency ratio","S0101_C01_034",74.7,1.9,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Child dependency ratio (2013)","S0101_C01_034",74.7,1.9,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2018,"Population","Old-age dependency ratio","S0101_C01_035",40.3,1.5,"ratio",NA,NA,NA
