"GEOID","NAME","census_survey","survey_type","year","category","label","variable","estimate","moe","stat_type","denominator","denom_value","est_percent"
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Total Population","B01003_001",5666,NA,"number",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Total Pop (Denom)","B01003_001",5666,NA,"denom",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Median Age","B01002_001",45.5,1,"number",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","White Alone","B02001_002",5387,54,"count","B01003_001",5666,95.08
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Black Alone","B02001_003",27,45,"count","B01003_001",5666,0.48
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Native American Alone","B02001_004",19,25,"count","B01003_001",5666,0.34
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Asian Alone","B02001_005",35,46,"count","B01003_001",5666,0.62
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pacific Islander Alone","B02001_006",0,14,"count","B01003_001",5666,0
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Some Other Race Alone","B02001_007",2,6,"count","B01003_001",5666,0.04
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Two or More Races (Total)","B02001_008",196,97,"count","B01003_001",5666,3.46
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Two+ Races (Incl. Other)","B02001_009",0,14,"count","B01003_001",5666,0
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Two+ Races (Excl. Other)","B02001_010",196,97,"count","B01003_001",5666,3.46
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Hispanic (Any Race)","B03003_003",46,53,"count","B01003_001",5666,0.81
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop Under 5 Years","S0101_C01_002",5.2,0.3,"count","S0101_C01_001",5666,0.09
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 5 to 9 Years","S0101_C01_003",6,1.6,"count","S0101_C01_001",5666,0.11
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 10 to 14 Years","S0101_C01_004",8.1,2.4,"count","S0101_C01_001",5666,0.14
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 15 to 19 Years","S0101_C01_005",6.5,1.5,"count","S0101_C01_001",5666,0.11
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 20 to 24 Years","S0101_C01_006",3.6,1.3,"count","S0101_C01_001",5666,0.06
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 25 to 29 Years","S0101_C01_007",3.5,1.8,"count","S0101_C01_001",5666,0.06
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 30 to 34 Years","S0101_C01_008",3.8,1.3,"count","S0101_C01_001",5666,0.07
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 35 to 39 Years","S0101_C01_009",5.2,1.6,"count","S0101_C01_001",5666,0.09
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 40 to 44 Years","S0101_C01_010",6.9,1.8,"count","S0101_C01_001",5666,0.12
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 45 to 49 Years","S0101_C01_011",8,0.6,"count","S0101_C01_001",5666,0.14
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 50 to 54 Years","S0101_C01_012",8.6,0.2,"count","S0101_C01_001",5666,0.15
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 55 to 59 Years","S0101_C01_013",8.4,2,"count","S0101_C01_001",5666,0.15
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 60 to 64 Years","S0101_C01_014",7.6,1.8,"count","S0101_C01_001",5666,0.13
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 65 to 69 Years","S0101_C01_015",6.2,1.1,"count","S0101_C01_001",5666,0.11
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 70 to 74 Years","S0101_C01_016",5.1,1.4,"count","S0101_C01_001",5666,0.09
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 75 to 79 Years","S0101_C01_017",3.5,0.9,"count","S0101_C01_001",5666,0.06
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 80 to 84 Years","S0101_C01_018",1.6,0.6,"count","S0101_C01_001",5666,0.03
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 85 Years and Over","S0101_C01_019",2,0.9,"count","S0101_C01_001",5666,0.04
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop Under 18 Years","S0101_C01_022",6.1,1.8,"count","S0101_C01_001",5666,0.11
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Pop 65 Years and Over","S0101_C01_030",45.5,1,"count","S0101_C01_001",5666,0.8
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Age dependency ratio","S0101_C01_034",40.2,3.1,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Child dependency ratio (2013)","S0101_C01_034",40.2,3.1,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Old-age dependency ratio","S0101_C01_035",0,NA,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Child dependency ratio","S0101_C01_036",2,NA,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Age dependency ratio (2013)","S0101_C01_032",72,3.4,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Old-age dependency ratio (2013)","S0101_C01_033",31.7,1.7,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Age dependency ratio","S0101_C01_034",40.2,3.1,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Child dependency ratio (2013)","S0101_C01_034",40.2,3.1,"ratio",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Total Veterans","B21001_002",708,118,"count","B21001_001",4340,16.31
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Foreign Born","B05002_013",68,56,"count","B01003_001",5666,1.2
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Total Population","B01003_001",5666,NA,"number",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Total Pop (Denom)","B01003_001",5666,NA,"denom",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Total Pop (Age Denom)","S0101_C01_001",5666,NA,"denom",NA,NA,NA
"30007","Broadwater County, Montana","acs","acs5",2013,"Population","Total Civ Pop 18+ (Vet Denom)","B21001_001",4340,80,"denom",NA,NA,NA
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Total Population","B01003_001",11434,NA,"number",NA,NA,NA
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Total Pop (Denom)","B01003_001",11434,NA,"denom",NA,NA,NA
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Median Age","B01002_001",47.3,0.4,"number",NA,NA,NA
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","White Alone","B02001_002",10894,39,"count","B01003_001",11434,95.28
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Black Alone","B02001_003",43,20,"count","B01003_001",11434,0.38
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Native American Alone","B02001_004",106,53,"count","B01003_001",11434,0.93
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Asian Alone","B02001_005",54,16,"count","B01003_001",11434,0.47
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Pacific Islander Alone","B02001_006",0,16,"count","B01003_001",11434,0
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Some Other Race Alone","B02001_007",42,31,"count","B01003_001",11434,0.37
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Two or More Races (Total)","B02001_008",295,60,"count","B01003_001",11434,2.58
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Two+ Races (Incl. Other)","B02001_009",10,14,"count","B01003_001",11434,0.09
"30043","Jefferson County, Montana","acs","acs5",2013,"Population","Two+ Races (Excl. Other)","B02001_010",285,59,"count","B01003_001",11434,2.49
