county,GEOID,NAME,category,table_id,variable,estimate,moe,summary_est,summary_moe,subset_ID,label,concept
Beaverhead County,30001000100,Census Tract 1; Beaverhead County; Montana,IncomePoverty,B06012,B06012_003,91,43,1440,216,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Beaverhead County,30001000200,Census Tract 2; Beaverhead County; Montana,IncomePoverty,B06012,B06012_003,437,255,3903,225,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Beaverhead County,30001000300,Census Tract 3; Beaverhead County; Montana,IncomePoverty,B06012,B06012_003,338,230,3831,120,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003000100,Census Tract 1; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,570,223,4298,186,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003940400,Census Tract 9404; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,123,83,1463,269,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003940500,Census Tract 9405; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,194,107,1324,204,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003940600,Census Tract 9406; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,869,492,3348,364,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003940700,Census Tract 9407; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,378,138,2210,292,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Blaine County,30005000100,Census Tract 1; Blaine County; Montana,IncomePoverty,B06012,B06012_003,153,84,1478,184,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Blaine County,30005000200,Census Tract 2; Blaine County; Montana,IncomePoverty,B06012,B06012_003,214,89,2313,198,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
