"GEOID","NAME","variable","estimate","moe"
"30001","Beaverhead County, Montana","B01001_001",9590,NA
"30003","Big Horn County, Montana","B01001_001",12963,NA
"30005","Blaine County, Montana","B01001_001",6997,NA
"30007","Broadwater County, Montana","B01001_001",7310,NA
"30009","Carbon County, Montana","B01001_001",10877,NA
"30011","Carter County, Montana","B01001_001",1361,124
"30013","Cascade County, Montana","B01001_001",84601,NA
"30015","Chouteau County, Montana","B01001_001",5888,NA
"30017","Custer County, Montana","B01001_001",11938,NA
"30019","Daniels County, Montana","B01001_001",1524,167
"30021","Dawson County, Montana","B01001_001",8874,NA
"30023","Deer Lodge County, Montana","B01001_001",9512,NA
"30025","Fallon County, Montana","B01001_001",2817,202
"30027","Fergus County, Montana","B01001_001",11581,NA
"30029","Flathead County, Montana","B01001_001",108445,NA
"30031","Gallatin County, Montana","B01001_001",122194,NA
"30033","Garfield County, Montana","B01001_001",938,109
"30035","Glacier County, Montana","B01001_001",13713,NA
"30037","Golden Valley County, Montana","B01001_001",840,124
"30039","Granite County, Montana","B01001_001",3419,NA
"30041","Hill County, Montana","B01001_001",16260,NA
"30043","Jefferson County, Montana","B01001_001",12501,NA
"30045","Judith Basin County, Montana","B01001_001",2053,NA
"30047","Lake County, Montana","B01001_001",32073,NA
"30049","Lewis and Clark County, Montana","B01001_001",72580,NA
"30051","Liberty County, Montana","B01001_001",1968,NA
"30053","Lincoln County, Montana","B01001_001",20656,NA
"30055","McCone County, Montana","B01001_001",1818,136
"30057","Madison County, Montana","B01001_001",8975,NA
"30059","Meagher County, Montana","B01001_001",1979,NA
"30061","Mineral County, Montana","B01001_001",4796,NA
"30063","Missoula County, Montana","B01001_001",119639,NA
"30065","Musselshell County, Montana","B01001_001",5068,156
"30067","Park County, Montana","B01001_001",17484,NA
"30069","Petroleum County, Montana","B01001_001",401,85
"30071","Phillips County, Montana","B01001_001",4224,NA
"30073","Pondera County, Montana","B01001_001",6012,NA
"30075","Powder River County, Montana","B01001_001",1762,124
"30077","Powell County, Montana","B01001_001",7029,NA
"30079","Prairie County, Montana","B01001_001",1251,170
"30081","Ravalli County, Montana","B01001_001",45807,NA
"30083","Richland County, Montana","B01001_001",11329,NA
"30085","Roosevelt County, Montana","B01001_001",10665,NA
"30087","Rosebud County, Montana","B01001_001",8236,NA
"30089","Sanders County, Montana","B01001_001",12936,NA
"30091","Sheridan County, Montana","B01001_001",3677,167
"30093","Silver Bow County, Montana","B01001_001",35589,NA
"30095","Stillwater County, Montana","B01001_001",9052,NA
"30097","Sweet Grass County, Montana","B01001_001",3713,NA
"30099","Teton County, Montana","B01001_001",6291,NA
"30101","Toole County, Montana","B01001_001",5028,NA
"30103","Treasure County, Montana","B01001_001",761,127
"30105","Valley County, Montana","B01001_001",7540,NA
"30107","Wheatland County, Montana","B01001_001",2049,NA
"30109","Wibaux County, Montana","B01001_001",1148,161
"30111","Yellowstone County, Montana","B01001_001",167340,NA
