label,category,stat_type,denominator,var_2000,var_2010,var_2020
Total Population,Population,number,NA,P001001,P001001,P1_001N
Male Total,Demographics,count,Total Population,P012002,P012002,P12_002N
Female Total,Demographics,count,Total Population,P012026,P012026,P12_026N
Male Under 5 years,Age Sex Detail,count,Total Population,P012003,P012003,P12_003N
Male 5 to 9 years,Age Sex Detail,count,Total Population,P012004,P012004,P12_004N
Male 10 to 14 years,Age Sex Detail,count,Total Population,P012005,P012005,P12_005N
Male 15 to 17 years,Age Sex Detail,count,Total Population,P012006,P012006,P12_006N
Male 18 and 19 years,Age Sex Detail,count,Total Population,P012007,P012007,P12_007N
Male 20 years,Age Sex Detail,count,Total Population,P012008,P012008,P12_008N
Male 21 years,Age Sex Detail,count,Total Population,P012009,P012009,P12_009N
Male 22 to 24 years,Age Sex Detail,count,Total Population,P012010,P012010,P12_010N
Male 25 to 29 years,Age Sex Detail,count,Total Population,P012011,P012011,P12_011N
Male 30 to 34 years,Age Sex Detail,count,Total Population,P012012,P012012,P12_012N
Male 35 to 39 years,Age Sex Detail,count,Total Population,P012013,P012013,P12_013N
Male 40 to 44 years,Age Sex Detail,count,Total Population,P012014,P012014,P12_014N
Male 45 to 49 years,Age Sex Detail,count,Total Population,P012015,P012015,P12_015N
Male 50 to 54 years,Age Sex Detail,count,Total Population,P012016,P012016,P12_016N
Male 55 to 59 years,Age Sex Detail,count,Total Population,P012017,P012017,P12_017N
Male 60 and 61 years,Age Sex Detail,count,Total Population,P012018,P012018,P12_018N
Male 62 to 64 years,Age Sex Detail,count,Total Population,P012019,P012019,P12_019N
Male 65 and 66 years,Age Sex Detail,count,Total Population,P012020,P012020,P12_020N
Male 67 to 69 years,Age Sex Detail,count,Total Population,P012021,P012021,P12_021N
Male 70 to 74 years,Age Sex Detail,count,Total Population,P012022,P012022,P12_022N
Male 75 to 79 years,Age Sex Detail,count,Total Population,P012023,P012023,P12_023N
Male 80 to 84 years,Age Sex Detail,count,Total Population,P012024,P012024,P12_024N
Male 85 years and over,Age Sex Detail,count,Total Population,P012025,P012025,P12_025N
Female Under 5 years,Age Sex Detail,count,Total Population,P012027,P012027,P12_027N
Female 5 to 9 years,Age Sex Detail,count,Total Population,P012028,P012028,P12_028N
Female 10 to 14 years,Age Sex Detail,count,Total Population,P012029,P012029,P12_029N
Female 15 to 17 years,Age Sex Detail,count,Total Population,P012030,P012030,P12_030N
Female 18 and 19 years,Age Sex Detail,count,Total Population,P012031,P012031,P12_031N
Female 20 years,Age Sex Detail,count,Total Population,P012032,P012032,P12_032N
Female 21 years,Age Sex Detail,count,Total Population,P012033,P012033,P12_033N
Female 22 to 24 years,Age Sex Detail,count,Total Population,P012034,P012034,P12_034N
Female 25 to 29 years,Age Sex Detail,count,Total Population,P012035,P012035,P12_035N
Female 30 to 34 years,Age Sex Detail,count,Total Population,P012036,P012036,P12_036N
Female 35 to 39 years,Age Sex Detail,count,Total Population,P012037,P012037,P12_037N
Female 40 to 44 years,Age Sex Detail,count,Total Population,P012038,P012038,P12_038N
Female 45 to 49 years,Age Sex Detail,count,Total Population,P012039,P012039,P12_039N
Female 50 to 54 years,Age Sex Detail,count,Total Population,P012040,P012040,P12_040N
Female 55 to 59 years,Age Sex Detail,count,Total Population,P012041,P012041,P12_041N
Female 60 and 61 years,Age Sex Detail,count,Total Population,P012042,P012042,P12_042N
Female 62 to 64 years,Age Sex Detail,count,Total Population,P012043,P012043,P12_043N
Female 65 and 66 years,Age Sex Detail,count,Total Population,P012044,P012044,P12_044N
Female 67 to 69 years,Age Sex Detail,count,Total Population,P012045,P012045,P12_045N
Female 70 to 74 years,Age Sex Detail,count,Total Population,P012046,P012046,P12_046N
Female 75 to 79 years,Age Sex Detail,count,Total Population,P012047,P012047,P12_047N
Female 80 to 84 years,Age Sex Detail,count,Total Population,P012048,P012048,P12_048N
Female 85 years and over,Age Sex Detail,count,Total Population,P012049,P012049,P12_049N
