label,variable,stat_type,denominator,category
In Labor Force,DP03_0002,count,DP03_0001,Employment
Civilian Labor Force,DP03_0003,count,DP03_0001,Employment
Employed (Civilian),DP03_0004,count,DP03_0001,Employment
Unemployed (Civilian),DP03_0005,count,DP03_0003,Employment
Not in Labor Force,DP03_0007,count,DP03_0001,Employment
Private Wage & Salary Workers,DP03_0047,count,DP03_0004,Employment
Government Workers,DP03_0048,count,DP03_0004,Employment
Self-Employed (Unincorporated),DP03_0049,count,DP03_0004,Employment
Unpaid Family Workers,DP03_0050,count,DP03_0004,Employment
"Mgmt, Business, Science, Arts",DP03_0027,count,DP03_0004,Employment
Service Occupations,DP03_0028,count,DP03_0004,Employment
Sales & Office Occupations,DP03_0029,count,DP03_0004,Employment
"Nat Resources, Const, Maint",DP03_0030,count,DP03_0004,Employment
"Production, Transpo, Moving",DP03_0031,count,DP03_0004,Employment
"Ag, Forestry, Fishing, Mining",DP03_0033,count,DP03_0004,Employment
Construction,DP03_0034,count,DP03_0004,Employment
Manufacturing,DP03_0035,count,DP03_0004,Employment
Wholesale Trade,DP03_0036,count,DP03_0004,Employment
Retail Trade,DP03_0037,count,DP03_0004,Employment
"Transpo, Warehousing, Utils",DP03_0038,count,DP03_0004,Employment
Information,DP03_0039,count,DP03_0004,Employment
"Finance, Insurance, Real Est",DP03_0040,count,DP03_0004,Employment
"Prof, Scientific, Mgmt, Admin",DP03_0041,count,DP03_0004,Employment
"Edu, Health, Social Assist",DP03_0042,count,DP03_0004,Employment
"Arts, Ent, Rec, Food Svcs",DP03_0043,count,DP03_0004,Employment
Other Services (Public Admin),DP03_0044,count,DP03_0004,Employment
Public Administration,DP03_0045,count,DP03_0004,Employment
Median Earnings (Workers),DP03_0092,currency,NA,Employment
Median Earnings (Male Full-Time),DP03_0093,currency,NA,Employment
Median Earnings (Fem Full-Time),DP03_0094,currency,NA,Employment
Drove Alone,DP03_0019,count,DP03_0018,Employment
Carpooled,DP03_0020,count,DP03_0018,Employment
Public Transit,DP03_0021,count,DP03_0018,Employment
Walked to Work,DP03_0022,count,DP03_0018,Employment
Work from Home,DP03_0024,count,DP03_0018,Employment
Mean Commute Time (Min),DP03_0025,number,NA,Employment
Worked in County of Residence,B08007_003,count,B08007_001,Employment
Worked Outside County,B08007_004,count,B08007_001,Employment
Total Pop 16+ (Labor Market),DP03_0001,denom,NA,Employment
Civilian Labor Force (Denom),DP03_0003,denom,NA,Employment
Employed 16+ (Ind/Occ Denom),DP03_0004,denom,NA,Employment
Workers 16+ (Commute Denom),DP03_0018,denom,NA,Employment
Workers 16+ (Location Denom),B08007_001,denom,NA,Employment
