label,variable,stat_type,denominator,category
Total Housing Units,B25002_001,number,NA,Housing
Occupied Units,B25002_002,count,B25002_001,Housing
Vacant Units,B25002_003,count,B25002_001,Housing
Owner Occupied Units,B25106_002,count,B25002_001,Housing
Renter Occupied Units,B25106_024,count,B25002_001,Housing
Median Home Value,B25077_001,currency,NA,Housing
Median Gross Rent,B25064_001,currency,NA,Housing
Severe Rent Burden (>50%),B25070_010,count,B25070_001,Housing
Severe Owner Burden (>50%),B25091_021,count,B25091_001,Housing
Single Family (Detached),B25024_002,count,B25024_001,Housing
Single Family (Attached),B25024_003,count,B25024_001,Housing
Multi-Family (2 Units),B25024_004,count,B25024_001,Housing
Multi-Family (3-4 Units),B25024_005,count,B25024_001,Housing
Multi-Family (5-9 Units),B25024_006,count,B25024_001,Housing
Multi-Family (10-19 Units),B25024_007,count,B25024_001,Housing
Multi-Family (20-49 Units),B25024_008,count,B25024_001,Housing
Multi-Family (50+ Units),B25024_009,count,B25024_001,Housing
Mobile Homes,B25024_010,count,B25024_001,Housing
"Boat, RV, Van, etc.",B25024_011,count,B25024_001,Housing
Median Year Built,B25035_001,year,NA,Housing
Heating: Utility Gas,B25040_002,count,B25040_001,Housing
Heating: Bottled/LP Gas,B25040_003,count,B25040_001,Housing
Heating: Electricity,B25040_004,count,B25040_001,Housing
Heating: Wood,B25040_006,count,B25040_001,Housing
Owners <$20k (>30%),B25106_006,count,B25106_003,Housing
"Owners $20k-$34,999k (>30%)",B25106_010,count,B25106_007,Housing
"Owners $35k-$49,999k (>30%)",B25106_014,count,B25106_011,Housing
"Owners $50k-$74,999k (>30%)",B25106_018,count,B25106_015,Housing
Owners $75K or More (>30%),B25106_022,count,B25106_019,Housing
Renters <$20k (>30%),B25106_028,count,B25106_025,Housing
"Renters $20k-$34,999k (>30%)",B25106_032,count,B25106_029,Housing
"Renters $35k-$49,999k (>30%)",B25106_036,count,B25106_033,Housing
"Renters $50k-$74,999k (>30%)",B25106_040,count,B25106_037,Housing
Renters $75K or More (>30%),B25106_044,count,B25106_041,Housing
Total Housing Units (Denom),B25002_001,denom,NA,Housing
Renters (Burden Denom),B25070_001,denom,NA,Housing
Owners (Burden Denom),B25091_001,denom,NA,Housing
Structure Denom,B25024_001,denom,NA,Housing
Heating Denom,B25040_001,denom,NA,Housing
Owners <$20k Denom,B25106_003,denom,NA,Housing
"Owners $20k-$34,999k Denom",B25106_007,denom,NA,Housing
"Owners $35k-$49,999k Denom",B25106_011,denom,NA,Housing
"Owners $50k-$74,999k Denom",B25106_015,denom,NA,Housing
Owners $75K or More Denom,B25106_019,denom,NA,Housing
Renters <$20k Denom,B25106_025,denom,NA,Housing
"Renters $20k-$34,999k Denom",B25106_029,denom,NA,Housing
"Renters $25k-$49,999k Denom",B25106_033,denom,NA,Housing
"Renters $50k-$74,999k Denom",B25106_037,denom,NA,Housing
Renters $75K or More Denom,B25106_041,denom,NA,Housing
