label,variable,stat_type,denominator,category
Overall Median Earnings (Total),S2414_C01_001,currency,NA,Industry Earnings
Overall Median Earnings (Male),S2414_C02_001,currency,NA,Industry Earnings
Overall Median Earnings (Female),S2414_C03_001,currency,NA,Industry Earnings
"Ag, Forestry, Fishing, Mining (Total)",S2414_C01_002,currency,NA,Industry Earnings
"Ag, Forestry, Fishing, Mining (Male)",S2414_C02_002,currency,NA,Industry Earnings
"Ag, Forestry, Fishing, Mining (Female)",S2414_C03_002,currency,NA,Industry Earnings
Construction (Total),S2414_C01_005,currency,NA,Industry Earnings
Construction (Male),S2414_C02_005,currency,NA,Industry Earnings
Construction (Female),S2414_C03_005,currency,NA,Industry Earnings
Manufacturing (Total),S2414_C01_006,currency,NA,Industry Earnings
Manufacturing (Male),S2414_C02_006,currency,NA,Industry Earnings
Manufacturing (Female),S2414_C03_006,currency,NA,Industry Earnings
Wholesale Trade (Total),S2414_C01_007,currency,NA,Industry Earnings
Wholesale Trade (Male),S2414_C02_007,currency,NA,Industry Earnings
Wholesale Trade (Female),S2414_C03_007,currency,NA,Industry Earnings
Retail Trade (Total),S2414_C01_008,currency,NA,Industry Earnings
Retail Trade (Male),S2414_C02_008,currency,NA,Industry Earnings
Retail Trade (Female),S2414_C03_008,currency,NA,Industry Earnings
"Transpo, Warehousing, Utils (Total)",S2414_C01_009,currency,NA,Industry Earnings
"Transpo, Warehousing, Utils (Male)",S2414_C02_009,currency,NA,Industry Earnings
"Transpo, Warehousing, Utils (Female)",S2414_C03_009,currency,NA,Industry Earnings
Information (Total),S2414_C01_012,currency,NA,Industry Earnings
Information (Male),S2414_C02_012,currency,NA,Industry Earnings
Information (Female),S2414_C03_012,currency,NA,Industry Earnings
"Finance, Insurance, Real Est (Total)",S2414_C01_013,currency,NA,Industry Earnings
"Finance, Insurance, Real Est (Male)",S2414_C02_013,currency,NA,Industry Earnings
"Finance, Insurance, Real Est (Female)",S2414_C03_013,currency,NA,Industry Earnings
"Prof, Scientific, Mgmt, Admin (Total)",S2414_C01_016,currency,NA,Industry Earnings
"Prof, Scientific, Mgmt, Admin (Male)",S2414_C02_016,currency,NA,Industry Earnings
"Prof, Scientific, Mgmt, Admin (Female)",S2414_C03_016,currency,NA,Industry Earnings
"Edu, Health, Social Assist (Total)",S2414_C01_020,currency,NA,Industry Earnings
"Edu, Health, Social Assist (Male)",S2414_C02_020,currency,NA,Industry Earnings
"Edu, Health, Social Assist (Female)",S2414_C03_020,currency,NA,Industry Earnings
"Arts, Ent, Rec, Food Svcs (Total)",S2414_C01_023,currency,NA,Industry Earnings
"Arts, Ent, Rec, Food Svcs (Male)",S2414_C02_023,currency,NA,Industry Earnings
"Arts, Ent, Rec, Food Svcs (Female)",S2414_C03_023,currency,NA,Industry Earnings
Other Services (Public Admin) (Total),S2414_C01_026,currency,NA,Industry Earnings
Other Services (Public Admin) (Male),S2414_C02_026,currency,NA,Industry Earnings
Other Services (Public Admin) (Female),S2414_C03_026,currency,NA,Industry Earnings
Public Administration (Total),S2414_C01_027,currency,NA,Industry Earnings
Public Administration (Male),S2414_C02_027,currency,NA,Industry Earnings
Public Administration (Female),S2414_C03_027,currency,NA,Industry Earnings
