label,variable,stat_type,denominator,category
Total Population,B01003_001,number,NA,Population
Median Age,B01002_001,number,NA,Population
White Alone,B02001_002,count,B01003_001,Population
Black Alone,B02001_003,count,B01003_001,Population
Native American Alone,B02001_004,count,B01003_001,Population
Asian Alone,B02001_005,count,B01003_001,Population
Pacific Islander Alone,B02001_006,count,B01003_001,Population
Some Other Race Alone,B02001_007,count,B01003_001,Population
Two or More Races (Total),B02001_008,count,B01003_001,Population
Two+ Races (Incl. Other),B02001_009,count,B01003_001,Population
Two+ Races (Excl. Other),B02001_010,count,B01003_001,Population
Hispanic (Any Race),B03003_003,count,B01003_001,Population
Pop Under 5 Years,S0101_C01_002,count,S0101_C01_001,Population
Pop 5 to 9 Years,S0101_C01_003,count,S0101_C01_001,Population
Pop 10 to 14 Years,S0101_C01_004,count,S0101_C01_001,Population
Pop 15 to 19 Years,S0101_C01_005,count,S0101_C01_001,Population
Pop 20 to 24 Years,S0101_C01_006,count,S0101_C01_001,Population
Pop 25 to 29 Years,S0101_C01_007,count,S0101_C01_001,Population
Pop 30 to 34 Years,S0101_C01_008,count,S0101_C01_001,Population
Pop 35 to 39 Years,S0101_C01_009,count,S0101_C01_001,Population
Pop 40 to 44 Years,S0101_C01_010,count,S0101_C01_001,Population
Pop 45 to 49 Years,S0101_C01_011,count,S0101_C01_001,Population
Pop 50 to 54 Years,S0101_C01_012,count,S0101_C01_001,Population
Pop 55 to 59 Years,S0101_C01_013,count,S0101_C01_001,Population
Pop 60 to 64 Years,S0101_C01_014,count,S0101_C01_001,Population
Pop 65 to 69 Years,S0101_C01_015,count,S0101_C01_001,Population
Pop 70 to 74 Years,S0101_C01_016,count,S0101_C01_001,Population
Pop 75 to 79 Years,S0101_C01_017,count,S0101_C01_001,Population
Pop 80 to 84 Years,S0101_C01_018,count,S0101_C01_001,Population
Pop 85 Years and Over,S0101_C01_019,count,S0101_C01_001,Population
Pop Under 18 Years,S0101_C01_022,count,S0101_C01_001,Population
Pop 65 Years and Over,S0101_C01_030,count,S0101_C01_001,Population
Age dependency ratio,S0101_C01_034,ratio,NA,Population
Old-age dependency ratio,S0101_C01_035,ratio,NA,Population
Child dependency ratio,S0101_C01_036,ratio,NA,Population
Age dependency ratio (2013),S0101_C01_032,ratio,NA,Population
Old-age dependency ratio (2013),S0101_C01_033,ratio,NA,Population
Child dependency ratio (2013),S0101_C01_034,ratio,NA,Population
Total Veterans,B21001_002,count,B21001_001,Population
Foreign Born,B05002_013,count,B01003_001,Population
Total Pop (Denom),B01003_001,denom,NA,Population
Total Pop (Age Denom),S0101_C01_001,denom,NA,Population
Total Civ Pop 18+ (Vet Denom),B21001_001,denom,NA,Population
